url,tagName,value,no_of_chars,fontSize,color,height,width,fontFamily,fontWeight,fontVariant,lineHeight,letterSpacing,wordSpacing,textAlign,textDecoration,textTransform,margin,padding,backgroundColor,backgroundImage,backgroundPosition,backgroundRepeat,backgroundSize
http://tympanus.net/Development/PushGridItems/,A,12672.0,88,12px,"rgb(255, 255, 255)",auto,auto,"area-normal, -apple-system, BlinkMacSystemFont, ""Segoe UI"", Helvetica, Arial, sans-serif",400,normal,normal,normal,0px,right,"none solid rgb(255, 255, 255)",none,none,none,"rgba(0, 0, 0, 0)",none,0% 0%,repeat,auto
https://tympanus.net/Development/IntroGridMotionTransition,BODY,245952.0,1708,12px,"rgb(41, 40, 40)",auto,auto,"new-science-mono, sans-serif",400,normal,normal,normal,0px,start,"none solid rgb(41, 40, 40)",uppercase,none,none,"rgb(221, 221, 221)",none,0% 0%,repeat,auto
https://tympanus.net/Development/IntroGridMotionTransition,MAIN,238032.0,1653,12px,"rgb(41, 40, 40)",auto,auto,"new-science-mono, sans-serif",400,normal,normal,normal,0px,start,"none solid rgb(41, 40, 40)",uppercase,none,none,"rgba(0, 0, 0, 0)",none,0% 0%,repeat,auto
https://tympanus.net/Development/IntroGridMotionTransition,H2,228096.0,11,144px,"rgb(41, 40, 40)",auto,auto,"new-science-extended, sans-serif",400,normal,129.6px,normal,0px,start,"none solid rgb(41, 40, 40)",uppercase,none,none,"rgba(0, 0, 0, 0)",none,0% 0%,repeat,auto
https://tympanus.net/Development/IntroGridMotionTransition,H2,228096.0,11,144px,"rgb(41, 40, 40)",auto,auto,"new-science-extended, sans-serif",400,normal,129.6px,normal,0px,start,"none solid rgb(41, 40, 40)",uppercase,none,none,"rgba(0, 0, 0, 0)",none,0% 0%,repeat,auto
https://tympanus.net/Development/IntroGridMotionTransition,H2,228096.0,11,144px,"rgb(41, 40, 40)",auto,auto,"new-science-extended, sans-serif",400,normal,129.6px,normal,0px,start,"none solid rgb(41, 40, 40)",uppercase,none,none,"rgba(0, 0, 0, 0)",none,0% 0%,repeat,auto
https://tympanus.net/Development/IntroGridMotionTransition,H2,228096.0,11,144px,"rgb(41, 40, 40)",auto,auto,"new-science-extended, sans-serif",400,normal,129.6px,normal,0px,start,"none solid rgb(41, 40, 40)",uppercase,none,none,"rgba(0, 0, 0, 0)",none,0% 0%,repeat,auto
https://tympanus.net/Development/TextureTransition,BODY,42094.08,203,14.4px,"rgb(245, 245, 245)",auto,auto,"Panton, sans-serif",400,normal,normal,normal,0px,start,"none solid rgb(245, 245, 245)",none,none,none,"rgba(0, 0, 0, 0)",none,0% 0%,repeat,auto
https://tympanus.net/Development/TextureTransition,DIV,38983.68,188,14.4px,"rgb(245, 245, 245)",auto,auto,"Panton, sans-serif",400,normal,normal,normal,0px,start,"none solid rgb(245, 245, 245)",none,none,none,"rgba(0, 0, 0, 0)",none,0% 0%,repeat,auto
https://tympanus.net/Development/TextureTransition,DIV,38983.68,188,14.4px,"rgb(245, 245, 245)",auto,auto,"Panton, sans-serif",400,normal,normal,normal,0px,start,"none solid rgb(245, 245, 245)",none,none,none,"rgba(0, 0, 0, 0)",none,0% 0%,repeat,auto
